||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|Bingöl(Genç/Genç Bel.)-1462|20777.0|
|Bingöl(Karlıova/Karlıova Bel.)-1465|9520.0|
|Bingöl(Kiğı/Kiğı Bel.)-1461|2658.0|
|Bingöl(Merkez/Bingöl Bel.)-1463|137199.0|
|Bingöl(Merkez/Ilıcalar Bel.)-1469|2935.0|
|Bingöl(Merkez/Sancak Bel.)-1468|2405.0|
|Bingöl(Solhan/Arakonak Bel.)-1466|2502.0|
|Bingöl(Solhan/Solhan Bel.)-1460|20616.0|
|Bingöl(Yayladere/Yayladere Bel.)-1458|840.0|
|Bingöl(Yedisu/Yedisu Bel.)-1464|1366.0|
|Bitlis(Adilcevaz/Adilcevaz Bel.)-1477|15234.0|
|Bitlis(Adilcevaz/Aydınlar Bel.)-1484|1974.0|
|Bitlis(Ahlat/Ahlat Bel.)-1474|31726.0|
|Bitlis(Ahlat/Ovakışla Bel.)-1483|3923.0|
|Bitlis(Güroymak/Gölbaşı Bel.)-1482|4989.0|
|Bitlis(Güroymak/Günkırı Bel.)-1481|4828.0|
|Bitlis(Güroymak/Güroymak Bel.)-1471|30140.0|
|Bitlis(Hizan/Hizan Bel.)-1475|13601.0|
|Bitlis(Merkez/Bitlis Bel.)-1476|56988.0|
|Bitlis(Merkez/Yolalan Bel.)-1485|2526.0|
|Bitlis(Mutki/Kavakbaşı Bel.)-1479|3102.0|
|Bitlis(Mutki/Mutki Bel.)-1473|3062.0|
|Bitlis(Tatvan/Tatvan Bel.)-1472|87527.0|
|Bolu(Dörtdivan/Dörtdivan Bel.)-1491|2593.0|
|Bolu(Gerede/Gerede Bel.)-1492|26082.0|
|Bolu(Göynük/Göynük Bel.)-1493|4453.0|
|Bolu(Kıbrıscık/Kıbrıscık Bel.)-1494|1022.0|
|Bolu(Mengen/Gökçesu Bel.)-1495|1766.0|
|Bolu(Mengen/Mengen Bel.)-1487|5613.0|
|Bolu(Merkez/Bolu Bel.)-1486|188986.0|
|Bolu(Merkez/Karacasu Bel.)-1498|2524.0|
|Bolu(Mudurnu/Mudurnu Bel.)-1489|5202.0|
|Bolu(Mudurnu/Taşkesti Bel.)-1496|2374.0|
|Bolu(Seben/Seben Bel.)-1488|2304.0|
|Bolu(Yeniçağa/Yeniçağa Bel.)-1490|4290.0|
|Burdur(Ağlasun/Ağlasun Bel.)-1506|3717.0|
|Burdur(Altınyayla/Altınyayla Bel.)-1502|2905.0|
|Burdur(Bucak/Bucak Bel.)-1501|48656.0|
|Burdur(Bucak/Kızılkaya Bel.)-1521|2482.0|
|Burdur(Bucak/Kocaaliler Bel.)-1519|1932.0|
|Burdur(Çavdır/Çavdır Bel.)-1507|5124.0|
|Burdur(Çavdır/Söğüt Bel.)-1510|3217.0|
|Burdur(Çeltikçi/Çeltikçi Bel.)-1499|2251.0|
|Burdur(Gölhisar/Gölhisar Bel.)-1508|17161.0|
|Burdur(Gölhisar/Yusufça Bel.)-52991|2365.0|
|Burdur(Karamanlı/Karamanlı Bel.)-1505|6060.0|
|Burdur(Kemer/Kemer Bel.)-1509|1407.0|
|Burdur(Merkez/Burdur Bel.)-1504|96038.0|
|Burdur(Tefenni/Tefenni Bel.)-1503|5965.0|
|Burdur(Yeşilova/Yeşilova Bel.)-1500|5217.0|
|Bursa(Büyükorhan/Büyükorhan Bel.)-1544|9596.0|
|Bursa(Gemlik/Gemlik Bel.)-1543|123361.0|
|Bursa(Gürsu/Gürsu Bel.)-1542|104867.0|
|Bursa(Harmancık/Harmancık Bel.)-1541|6204.0|
|Bursa(İnegöl/İnegöl Bel.)-1540|302251.0|
|Bursa(İznik/İznik Bel.)-1531|45208.0|
|Bursa(Karacabey/Karacabey Bel.)-1539|85968.0|
|Bursa(Keles/Keles Bel.)-1538|11171.0|
|Bursa(Kestel/Kestel Bel.)-1537|76659.0|
|Bursa(Mudanya/Mudanya Bel.)-1536|110797.0|
|Bursa(Mustafakemalpaşa/Mustafakemalpaşa Bel.)-1535|103581.0|
|Bursa(Nilüfer/Nilüfer Bel.)-1530|561730.0|
|Bursa(Orhaneli/Orhaneli Bel.)-1534|19069.0|
|Bursa(Orhangazi/Orhangazi Bel.)-1533|82111.0|
|Bursa(Osmangazi/Osmangazi Bel.)-1546|885441.0|
|Bursa(Yenişehir/Yenişehir Bel.)-1532|55606.0|
|Bursa(Yıldırım/Yıldırım Bel.)-1545|654998.0|
|Çanakkale(Ayvacık/Ayvacık Bel.)-1595|10575.0|
|Çanakkale(Ayvacık/Küçükkuyu Bel.)-1612|10769.0|
|Çanakkale(Bayramiç/Bayramiç Bel.)-1585|15873.0|
|Çanakkale(Biga/Biga Bel.)-1584|60500.0|
|Çanakkale(Biga/Gümüşçay Bel.)-1608|2065.0|
|Çanakkale(Biga/Karabiga Bel.)-1607|3160.0|
|Çanakkale(Bozcaada/Bozcaada Bel.)-1593|3363.0|
|Çanakkale(Çan/Çan Bel.)-1592|30568.0|
|Çanakkale(Çan/Terzialan Bel.)-1606|1762.0|
|Çanakkale(Eceabat/Eceabat Bel.)-1588|5869.0|
|Çanakkale(Ezine/Ezine Bel.)-1586|15566.0|
|Çanakkale(Ezine/Geyikli Bel.)-1605|3998.0|
|Çanakkale(Gelibolu/Evreşe Bel.)-1599|2078.0|
|Çanakkale(Gelibolu/Gelibolu Bel.)-1589|32559.0|
|Çanakkale(Gelibolu/Kavakköy Bel.)-1598|1192.0|
|Çanakkale(Gökçeada/Gökçeada Bel.)-1591|8026.0|
|Çanakkale(Lapseki/Çardak Bel.)-1600|4198.0|
|Çanakkale(Lapseki/Lapseki Bel.)-1590|16504.0|
|Çanakkale(Lapseki/Umurbey Bel.)-1601|2350.0|
|Çanakkale(Merkez/Çanakkale Bel.)-1594|145194.0|
|Çanakkale(Merkez/Kepez Bel.)-1617|36787.0|
|Çanakkale(Yenice/Kalkım Bel.)-1603|2425.0|
|Çanakkale(Yenice/Pazarköy Bel.)-1616|1317.0|
|Çanakkale(Yenice/Yenice Bel.)-1587|8070.0|
|Çankırı(Atkaracalar/Atkaracalar Bel.)-1621|2096.0|
|Çankırı(Atkaracalar/Çardaklı Bel.)-1646|2208.0|
|Çankırı(Bayramören/Bayramören Bel.)-1624|524.0|
|Çankırı(Çerkeş/Çerkeş Bel.)-1622|9802.0|
|Çankırı(Çerkeş/Saçak Bel.)-1645|2544.0|
|Çankırı(Eldivan/Eldivan Bel.)-1619|3307.0|
|Çankırı(Ilgaz/Ilgaz Bel.)-1618|7848.0|
|Çankırı(Kızılırmak/Kızılırmak Bel.)-1627|2202.0|
|Çankırı(Korgun/Korgun Bel.)-1626|2415.0|
|Çankırı(Kurşunlu/Kurşunlu Bel.)-1625|6594.0|
|Çankırı(Merkez/Çankırı Bel.)-1628|89142.0|
|Çankırı(Orta/Dodurga Bel.)-1638|2225.0|
|Çankırı(Orta/Kalfat Bel.)-1636|2289.0|
|Çankırı(Orta/Orta Bel.)-1623|3527.0|
|Çankırı(Orta/Yaylakent Bel.)-1631|2634.0|
|Çankırı(Şabanözü/Şabanözü Bel.)-1629|9494.0|
|Çankırı(Yapraklı/Yapraklı Bel.)-1620|1676.0|
|Çorum(Alaca/Alaca Bel.)-1650|19053.0|
|Çorum(Bayat/Bayat Bel.)-1655|5433.0|
|Çorum(Boğazkale/Boğazkale Bel.)-1651|2113.0|
|Çorum(Dodurga/Dodurga Bel.)-1659|2507.0|
|Çorum(İskilip/İskilip Bel.)-1656|17193.0|
|Çorum(Kargı/Kargı Bel.)-1654|5460.0|
|Çorum(Laçin/Laçin Bel.)-1652|1400.0|
|Çorum(Mecitözü/Mecitözü Bel.)-1649|3955.0|
|Çorum(Merkez/Çorum Bel.)-1658|266517.0|
|Çorum(Merkez/Düvenci Bel.)-1686|1610.0|
|Çorum(Oğuzlar/Oğuzlar Bel.)-1661|2690.0|
|Çorum(Ortaköy/Aştavul Bel.)-1663|2045.0|
|Çorum(Ortaköy/Ortaköy Bel.)-1660|2249.0|
|Çorum(Osmancık/Osmancık Bel.)-1657|30238.0|
|Çorum(Sungurlu/Sungurlu Bel.)-1662|33373.0|
|Çorum(Uğurludağ/Uğurludağ Bel.)-1653|3011.0|
|Denizli(Acıpayam/Acıpayam Bel.)-1694|54994.0|
|Denizli(Babadağ/Babadağ Bel.)-1696|6303.0|
|Denizli(Baklan/Baklan Bel.)-1697|5351.0|
|Denizli(Bekilli/Bekilli Bel.)-1698|6416.0|
|Denizli(Beyağaç/Beyağaç Bel.)-1699|6148.0|
|Denizli(Bozkurt/Bozkurt Bel.)-1700|11130.0|
|Denizli(Buldan/Buldan Bel.)-1701|26456.0|
|Denizli(Çal/Çal Bel.)-1702|17546.0|
|Denizli(Çameli/Çameli Bel.)-1703|17492.0|
